All Ordinaries Index (1 July 2018),,,,,,
Code,Company,Sector,Market Cap,Weight(%),,
3PL,3P Learning Limited,Consumer Discretionary,"174,043,000",0.01,,
APE,A.P. Eagers Limited,Consumer Discretionary,"1,631,870,000",0.08,,
ABP,Abacus Property Group Units/ Stapled Securities,Real Estate,"2,184,200,000",0.11,,
AX1,Accent Group Limited,Consumer Discretionary,"894,781,000",0.05,,
ADA,Adacel Technologies,Information Technology,"132,535,000",0.01,,
ADH,Adairs Limited,Consumer Discretionary,"369,901,000",0.02,,
ABC,Adelaide Brighton,Materials,"4,521,740,000",0.23,,
APT,Afterpay Touch,Information Technology,"2,036,210,000",0.1,,
AGL,AGL Energy Limited,Utilities,"14,742,900,000",0.76,,
AGI,Ainsworth Game Tech,Consumer Discretionary,"345,813,000",0.02,,
AXP,Airxpanders Inc Cdi Forus,Health Care,"197,078,000",0.01,,
AJL,AJ Lucas Group,Industrials,"247,532,000",0.01,,
AQG,Alacer Gold Corp Chess Depositary Interests 1:1,Materials,"251,290,000",0.01,,
ALK,Alkane Resources Limited,Materials,"116,402,000",0.01,,
AQZ,Alliance Aviation,Industrials,"238,950,000",0.01,,
ALQ,Als Limited,Industrials,"3,697,960,000",0.19,,
ALU,Altium Limited,Information Technology,"2,932,710,000",0.15,,
AJM,Altura Mining Limited,Materials,"591,457,000",0.03,,
AWC,Alumina Limited,Materials,"8,063,560,000",0.41,,
AMA,AMA Group Limited,Consumer Discretionary,"551,175,000",0.03,,
AYS,Amaysim Aus Limited,Telecommunication Services,"223,440,000",0.01,,
AMC,Amcor Limited,Materials,"16,688,800,000",0.86,,
AMP,AMP Limited,Financials,"10,389,700,000",0.53,,
AGG,Anglogold Ashanti Cdi 5:1 Foreign Exempt Jse,Materials,"192,689,000",0.01,,
ANN,Ansell Limited,Health Care,"3,870,310,000",0.2,,
ANZ,ANZ Banking Group Limited,Financials,"81,735,300,000",4.2,,
APA,APA Group Units FP Stapled Securities,Utilities,"11,622,000,000",0.6,,
